Mary,F,2777553
Dorothy,F,970982
Helen,F,888405
Margaret,F,882247
Barbara,F,851121
Betty,F,835566
Patricia,F,718120
Ruth,F,676188
Linda,F,570187
Elizabeth,F,570069
Shirley,F,514878
Anna,F,499087
Virginia,F,489269
Frances,F,479289
Nancy,F,471460
Carol,F,440075
Alice,F,424514
Mildred,F,418818
Marie,F,397389
Doris,F,390074
Martha,F,374425
Evelyn,F,359218
Joan,F,344734
Rose,F,331015
Jean,F,329138
Joyce,F,318349
Florence,F,313313
Sandra,F,313019
Catherine,F,302220
Carolyn,F,287337
Louise,F,287001
Lillian,F,286658
Irene,F,279336
Annie,F,277305
Donna,F,276301
Judith,F,276018
Lois,F,275745
Edna,F,262108
Ethel,F,259812
Susan,F,258550
Sharon,F,253515
Ann,F,246874
Ruby,F,246018
Janet,F,244354
Kathleen,F,243964
Gloria,F,239793
Gladys,F,237508
Grace,F,234710
Marilyn,F,233131
Phyllis,F,232485
Josephine,F,229919
Marjorie,F,228629
Edith,F,221646
Emma,F,219386
Eleanor,F,215963
Clara,F,211294
Sarah,F,210579
Beverly,F,209644
Hazel,F,208864
Jane,F,205481
Thelma,F,202974
Norma,F,202433
Judy,F,193827
Lucille,F,192566
Pauline,F,192269
Karen,F,185485
Bertha,F,183777
Janice,F,183445
Esther,F,180098
Dolores,F,175000
Katherine,F,173163
Julia,F,171760
Laura,F,171468
Gertrude,F,170689
Geraldine,F,168534
Rita,F,166363
Ida,F,163292
Marion,F,162334
Bessie,F,158883
Beatrice,F,158691
Bonnie,F,158420
Bernice,F,158247
Eva,F,157921
Charlotte,F,156690
Elsie,F,156406
Peggy,F,156152
Diane,F,148224
Minnie,F,148048
Kathryn,F,147451
Anne,F,146719
Elaine,F,145751
Agnes,F,145306
June,F,144286
Wanda,F,142873
Ellen,F,141599
Juanita,F,141447
Pearl,F,138549
Theresa,F,137210
Lorraine,F,137143
Ella,F,136134
Nellie,F,135852
Sylvia,F,132472
Myrtle,F,131577
Willie,F,130809
Lillie,F,128255
Mabel,F,124828
Jessie,F,120324
Wilma,F,120215
Viola,F,118600
Alma,F,118065
Brenda,F,117482
Christine,F,117205
Vivian,F,113326
Mattie,F,111965
Vera,F,109236
Lucy,F,108950
Sally,F,108763
Marian,F,108405
Audrey,F,108316
Loretta,F,106858
Stella,F,103937
Joanne,F,101550
Carrie,F,100621
Eileen,F,100112
Maria,F,98869
Roberta,F,98396
Lena,F,98250
Jacqueline,F,97643
Georgia,F,97420
Mae,F,95363
Arlene,F,94708
Jennie,F,94236
Rosemary,F,93095
Rosa,F,92934
Rebecca,F,90236
Leona,F,90137
Maxine,F,89687
Jeanne,F,88435
Patsy,F,86982
Cora,F,86675
Anita,F,86059
Jo,F,85706
Hattie,F,85679
Violet,F,85387
Delores,F,85260
Jeanette,F,85094
Sara,F,84497
Connie,F,82915
Blanche,F,82623
Joann,F,80996
Carole,F,79583
Margie,F,79447
Dora,F,78424
Sue,F,77628
Marguerite,F,77427
Lula,F,77288
Fannie,F,76877
Emily,F,76412
Pamela,F,75797
Cynthia,F,75276
Harriet,F,75219
Darlene,F,74801
Constance,F,74329
Velma,F,74038
Ada,F,72661
Gail,F,72634
Cheryl,F,72600
Genevieve,F,71703
Mamie,F,70371
Beulah,F,69944
Diana,F,68439
Geneva,F,68264
Marlene,F,67698
Eunice,F,64142
Billie,F,63744
Nora,F,63681
Hilda,F,63676
Opal,F,62995
Daisy,F,62117
Alberta,F,60882
Suzanne,F,60390
Rachel,F,59741
Susie,F,59489
Naomi,F,59060
Maggie,F,58967
Inez,F,58657
Caroline,F,58272
Yvonne,F,57845
Verna,F,56768
Lola,F,56647
Rosie,F,56545
Flora,F,56274
Marcia,F,55900
Victoria,F,55882
Paula,F,55744
Kay,F,55389
Madeline,F,53487
Sadie,F,53472
Della,F,51534
Lydia,F,49235
Deborah,F,49140
Muriel,F,49067
Annette,F,49050
Sheila,F,48967
Nina,F,48394
Mable,F,48273
Claire,F,47920
Erma,F,47519
Charlene,F,47289
Faye,F,46957
Rosalie,F,46790
Miriam,F,46425
Irma,F,46015
Glenda,F,46009
Teresa,F,45644
Estelle,F,45595
Katie,F,45340
Bobbie,F,45301
Nettie,F,45044
Maureen,F,44507
Maude,F,44021
Eula,F,43448
Olive,F,43424
Henrietta,F,43342
Gwendolyn,F,42461
Regina,F,42040
Lottie,F,41893
Jeannette,F,41244
Sallie,F,40996
Olga,F,40751
May,F,40628
Sophie,F,40412
Priscilla,F,40021
Effie,F,39702
Janie,F,39529
Amelia,F,39246
Marcella,F,38753
Antoinette,F,38715
