TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,50.0,44.1,80,30.39,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-22 05:51:00
1:51 AM,50.0,43.0,77,30.38,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-22 06:51:00
2:51 AM,51.1,43.0,74,30.37,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-22 07:51:00
3:51 AM,50.0,43.0,77,30.35,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-22 08:51:00
4:51 AM,50.0,43.0,77,30.35,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-22 09:51:00
5:51 AM,48.0,43.0,83,30.34,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-11-22 10:51:00
6:51 AM,46.9,43.0,86,30.32,10.0,South,3.5,-,N/A,,Mostly Cloudy,170,2013-11-22 11:51:00
7:51 AM,48.0,45.0,89,30.32,10.0,Calm,Calm,-,N/A,,Scattered Clouds,0,2013-11-22 12:51:00
8:51 AM,54.0,48.0,80,30.32,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-22 13:51:00
9:51 AM,57.9,51.1,78,30.32,10.0,WSW,4.6,-,N/A,,Mostly Cloudy,240,2013-11-22 14:51:00
10:51 AM,62.1,53.1,72,30.31,10.0,Variable,3.5,-,N/A,,Mostly Cloudy,0,2013-11-22 15:51:00
11:51 AM,62.1,52.0,70,30.27,10.0,West,5.8,-,N/A,,Overcast,270,2013-11-22 16:51:00
12:34 PM,64.4,53.6,68,30.25,10.0,WSW,8.1,-,N/A,,Mostly Cloudy,250,2013-11-22 17:34:00
12:51 PM,64.9,55.0,70,30.25,10.0,West,5.8,-,N/A,,Overcast,270,2013-11-22 17:51:00
1:51 PM,69.1,57.0,65,30.20,10.0,SW,15.0,20.7,N/A,,Mostly Cloudy,230,2013-11-22 18:51:00
2:46 PM,69.8,57.2,64,30.18,10.0,WSW,10.4,-,N/A,,Mostly Cloudy,250,2013-11-22 19:46:00
2:51 PM,69.1,57.0,65,30.18,10.0,SW,10.4,-,N/A,,Mostly Cloudy,230,2013-11-22 19:51:00
3:51 PM,69.1,57.0,65,30.17,10.0,WSW,11.5,19.6,N/A,,Mostly Cloudy,240,2013-11-22 20:51:00
4:01 PM,69.8,57.2,64,30.17,10.0,WSW,11.5,-,N/A,,Mostly Cloudy,250,2013-11-22 21:01:00
4:51 PM,66.9,57.0,70,30.15,10.0,SW,10.4,-,N/A,,Mostly Cloudy,230,2013-11-22 21:51:00
5:51 PM,66.0,57.9,75,30.14,10.0,SW,11.5,-,N/A,,Mostly Cloudy,230,2013-11-22 22:51:00
6:51 PM,64.9,55.9,73,30.13,10.0,WSW,9.2,-,N/A,,Mostly Cloudy,240,2013-11-22 23:51:00
7:51 PM,64.9,57.0,75,30.13,10.0,SW,6.9,-,N/A,,Overcast,230,2013-11-23 00:51:00
8:51 PM,64.0,57.0,78,30.12,10.0,SW,9.2,-,0.00,Rain,Light Rain,230,2013-11-23 01:51:00
9:51 PM,63.0,57.9,84,30.11,9.0,WSW,6.9,-,0.00,Rain,Light Rain,240,2013-11-23 02:51:00
10:51 PM,62.1,59.0,90,30.11,8.0,WSW,5.8,-,0.02,Rain,Light Rain,250,2013-11-23 03:51:00
11:51 PM,61.0,59.0,93,30.10,7.0,WSW,6.9,-,0.01,,Overcast,240,2013-11-23 04:51:00
