TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:07 AM,64.4,60.8,88,29.93,10.0,SSW,15.0,-,0.00,,Overcast,210,2014-11-25 05:07:00
12:51 AM,64.0,57.9,80,29.90,10.0,SSW,10.4,-,0.00,,Overcast,210,2014-11-25 05:51:00
1:51 AM,63.0,57.0,81,29.94,10.0,SSW,10.4,-,0.00,,Overcast,210,2014-11-25 06:51:00
2:51 AM,61.0,55.9,83,29.95,10.0,SSW,8.1,-,0.01,,Overcast,210,2014-11-25 07:51:00
3:34 AM,60.8,55.4,82,29.95,10.0,SW,8.1,-,N/A,,Overcast,220,2014-11-25 08:34:00
3:51 AM,61.0,55.0,81,29.94,10.0,SW,6.9,-,N/A,,Overcast,220,2014-11-25 08:51:00
4:15 AM,60.8,53.6,77,29.94,10.0,SW,8.1,-,N/A,,Overcast,220,2014-11-25 09:15:00
4:51 AM,60.1,54.0,80,29.94,10.0,WSW,4.6,-,N/A,,Overcast,240,2014-11-25 09:51:00
5:33 AM,57.2,53.6,88,29.99,10.0,WSW,6.9,-,N/A,,Mostly Cloudy,240,2014-11-25 10:33:00
5:51 AM,60.1,55.0,83,29.99,10.0,SSW,5.8,-,N/A,,Overcast,210,2014-11-25 10:51:00
6:51 AM,61.0,55.0,81,29.97,10.0,SSW,6.9,-,N/A,,Overcast,210,2014-11-25 11:51:00
7:51 AM,61.0,55.9,83,30.00,10.0,South,5.8,-,N/A,,Overcast,190,2014-11-25 12:51:00
8:03 AM,60.8,55.4,82,30.00,10.0,SSW,3.5,-,N/A,,Overcast,200,2014-11-25 13:03:00
8:51 AM,61.0,55.9,83,30.03,10.0,SW,8.1,-,N/A,,Overcast,220,2014-11-25 13:51:00
9:20 AM,62.6,57.2,82,30.06,8.0,SW,10.4,-,N/A,,Overcast,220,2014-11-25 14:20:00
9:51 AM,61.0,57.0,87,30.06,7.0,WNW,3.5,-,N/A,,Overcast,300,2014-11-25 14:51:00
10:51 AM,61.0,57.0,87,30.08,5.0,NNW,4.6,-,N/A,,Overcast,330,2014-11-25 15:51:00
11:08 AM,60.8,48.2,63,30.07,10.0,NNE,3.5,-,N/A,,Overcast,20,2014-11-25 16:08:00
11:51 AM,60.1,48.9,67,30.06,10.0,North,5.8,-,N/A,,Overcast,10,2014-11-25 16:51:00
12:51 PM,59.0,44.1,58,30.04,10.0,Variable,4.6,-,N/A,,Overcast,0,2014-11-25 17:51:00
1:51 PM,57.9,43.0,58,30.01,10.0,NE,6.9,-,N/A,,Overcast,40,2014-11-25 18:51:00
2:51 PM,57.0,42.1,57,30.04,10.0,NNE,6.9,-,N/A,,Overcast,30,2014-11-25 19:51:00
3:51 PM,55.9,39.0,53,30.05,10.0,NE,6.9,-,N/A,,Overcast,40,2014-11-25 20:51:00
4:51 PM,55.0,39.9,57,30.08,10.0,ENE,4.6,-,N/A,,Mostly Cloudy,60,2014-11-25 21:51:00
5:51 PM,54.0,39.9,59,30.06,10.0,NNE,3.5,-,0.00,Rain,Light Rain,20,2014-11-25 22:51:00
6:51 PM,53.1,41.0,64,30.07,10.0,NNE,3.5,-,0.00,Rain,Light Rain,30,2014-11-25 23:51:00
7:51 PM,53.1,41.0,64,30.09,10.0,Calm,Calm,-,0.00,Rain,Light Rain,0,2014-11-26 00:51:00
8:51 PM,50.0,45.0,83,30.12,8.0,Calm,Calm,-,0.02,Rain,Light Rain,0,2014-11-26 01:51:00
9:07 PM,50.0,44.6,82,30.13,8.0,North,3.5,-,0.00,Rain,Light Rain,350,2014-11-26 02:07:00
9:51 PM,48.9,44.1,83,30.10,8.0,ENE,3.5,-,0.02,Rain,Light Rain,70,2014-11-26 02:51:00
10:51 PM,48.9,44.1,83,30.07,8.0,NNE,4.6,-,0.00,Rain,Light Rain,20,2014-11-26 03:51:00
11:03 PM,48.2,44.6,87,30.07,8.0,Calm,Calm,-,0.01,Rain,Light Rain,0,2014-11-26 04:03:00
11:51 PM,48.9,45.0,86,30.04,2.0,NNE,3.5,-,0.04,Rain,Rain,20,2014-11-26 04:51:00
