TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,37.9,12.9,36,30.37,10.0,Calm,Calm,-,N/A,,Mostly Cloudy,0,2013-11-26 05:51:00
1:51 AM,37.9,12.9,36,30.33,10.0,NE,3.5,-,N/A,,Mostly Cloudy,40,2013-11-26 06:51:00
2:51 AM,37.9,12.9,36,30.31,10.0,NNE,4.6,-,N/A,,Overcast,30,2013-11-26 07:51:00
3:51 AM,37.0,16.0,42,30.29,10.0,NE,4.6,-,N/A,,Overcast,40,2013-11-26 08:51:00
4:03 AM,37.4,15.8,41,30.28,10.0,NE,4.6,-,N/A,,Overcast,40,2013-11-26 09:03:00
4:51 AM,37.9,17.1,43,30.29,10.0,NE,3.5,-,N/A,,Overcast,40,2013-11-26 09:51:00
5:51 AM,37.9,17.1,43,30.28,10.0,NNE,5.8,-,N/A,,Overcast,30,2013-11-26 10:51:00
6:51 AM,37.9,19.0,47,30.27,10.0,Variable,5.8,-,N/A,,Overcast,0,2013-11-26 11:51:00
7:51 AM,39.0,18.0,43,30.23,10.0,NE,9.2,-,N/A,,Overcast,50,2013-11-26 12:51:00
8:51 AM,39.9,21.0,47,30.21,10.0,North,3.5,-,N/A,,Overcast,10,2013-11-26 13:51:00
9:51 AM,41.0,30.0,65,30.17,7.0,ENE,5.8,-,0.00,Rain,Light Rain,70,2013-11-26 14:51:00
10:51 AM,41.0,33.1,73,30.16,10.0,NE,6.9,-,0.01,Rain,Light Rain,50,2013-11-26 15:51:00
11:51 AM,41.0,36.0,82,30.10,6.0,ENE,5.8,-,0.01,Rain,Light Rain,60,2013-11-26 16:51:00
12:51 PM,41.0,37.9,89,30.05,4.0,ENE,8.1,-,0.06,Rain,Light Rain,60,2013-11-26 17:51:00
1:29 PM,42.8,39.2,87,30.00,2.0,East,11.5,-,0.06,Rain,Light Rain,80,2013-11-26 18:29:00
1:51 PM,42.1,39.9,92,29.98,2.0,ENE,9.2,-,0.09,Rain,Light Rain,70,2013-11-26 18:51:00
2:29 PM,44.6,42.8,93,29.94,2.0,East,11.5,-,0.05,Rain,Light Rain,90,2013-11-26 19:29:00
2:51 PM,45.0,43.0,93,29.93,2.0,East,10.4,-,0.07,Rain,Light Rain,90,2013-11-26 19:51:00
2:56 PM,44.6,42.8,93,29.92,1.5,East,10.4,-,0.00,Rain,Light Rain,100,2013-11-26 19:56:00
3:24 PM,44.6,44.6,100,29.90,0.5,ESE,11.5,-,0.03,Rain,Light Rain,110,2013-11-26 20:24:00
3:51 PM,46.9,45.0,93,29.87,0.5,ESE,13.8,-,0.10,Rain,Rain,110,2013-11-26 20:51:00
4:51 PM,51.1,50.0,96,29.80,0.2,ESE,11.5,-,0.05,Rain,Light Rain,120,2013-11-26 21:51:00
5:41 PM,55.4,53.6,94,29.75,1.0,SE,9.2,-,0.04,Rain,Light Rain,130,2013-11-26 22:41:00
5:51 PM,55.0,54.0,96,29.74,1.0,ESE,12.7,-,0.04,Rain,Light Rain,120,2013-11-26 22:51:00
6:13 PM,57.2,55.4,94,29.73,5.0,SE,12.7,23.0,0.03,Rain,Light Rain,130,2013-11-26 23:13:00
6:51 PM,59.0,57.0,93,29.71,3.0,SE,12.7,-,0.08,Rain,Rain,140,2013-11-26 23:51:00
7:08 PM,60.8,57.2,88,29.71,2.5,SSE,8.1,-,0.07,Rain,Rain,150,2013-11-27 00:08:00
7:32 PM,60.8,60.8,100,29.69,5.0,SSE,13.8,20.7,0.11,Rain,Light Rain,160,2013-11-27 00:32:00
7:51 PM,63.0,61.0,93,29.68,8.0,SSE,15.0,24.2,0.14,Rain,Light Rain,160,2013-11-27 00:51:00
8:51 PM,64.0,62.1,93,29.65,8.0,South,13.8,19.6,0.04,,Light Drizzle,170,2013-11-27 01:51:00
9:44 PM,64.4,62.6,94,29.61,2.0,South,9.2,20.7,0.05,Rain,Rain,180,2013-11-27 02:44:00
9:51 PM,64.9,63.0,93,29.61,3.0,South,12.7,-,0.11,Rain,Rain,170,2013-11-27 02:51:00
10:51 PM,66.0,64.0,93,29.58,10.0,SW,11.5,21.9,0.02,Rain,Light Rain,230,2013-11-27 03:51:00
10:56 PM,64.4,62.6,94,29.60,10.0,WNW,10.4,21.9,0.00,Rain,Light Rain,290,2013-11-27 03:56:00
11:20 PM,53.6,51.8,94,29.59,2.0,Variable,4.6,-,0.01,Rain,Light Rain,0,2013-11-27 04:20:00
11:33 PM,51.8,51.8,100,29.60,2.0,Variable,3.5,-,0.01,Rain,Light Rain,0,2013-11-27 04:33:00
11:36 PM,51.8,50.0,94,29.60,0.5,NNW,5.8,-,0.01,Rain,Light Rain,340,2013-11-27 04:36:00
11:51 PM,50.0,48.9,96,29.60,0.5,NW,5.8,-,0.01,Rain,Light Rain,320,2013-11-27 04:51:00
